night_date,n_hours,err,err_mw,a_share,f_share,wb,cum_cold_h,season,month,doy,dow,holiday,below,dist,campaign_start,campaign_night2
2023-12-21,11,-0.05060325079280896,-2.695090909090905,6.297760385570828,6.3483636363636355,-12.971713773963607,600.0,2023,12,355,3,1,1,-10.971713773963607,0,0
2023-12-22,11,-0.02979170226397233,6.559454545454556,6.375935570463301,6.4057272727272725,-9.285086152593871,624.0,2023,12,356,4,1,1,-7.2850861525938715,0,0
2023-12-23,11,-0.06647820345038967,-13.147000000000007,6.425612705640519,6.4920909090909085,-1.6753658789861026,648.0,2023,12,357,5,1,0,0.32463412101389744,0,0
2023-12-24,11,-0.03361685620272293,-30.40727272727272,6.53801950743364,6.5716363636363635,0.23572283142739214,652.0,2023,12,358,6,1,0,2.2357228314273923,0,0
2023-12-25,11,0.08094507594199586,-10.238090909090921,6.618763257760178,6.5378181818181815,1.3299589789924766,652.0,2023,12,359,0,1,0,3.329958978992477,0,0
2023-12-26,11,0.07727890026390494,-5.658090909090912,6.565551627536633,6.488272727272727,4.473770920688347,652.0,2023,12,360,1,1,0,6.473770920688347,0,0
2023-12-27,11,-0.024972543126079137,-20.20536363636364,6.464663820510284,6.489636363636364,4.500268362134751,652.0,2023,12,361,2,1,0,6.500268362134751,0,0
2023-12-28,11,0.016214980657150446,-8.896545454545452,6.516851344293514,6.500636363636364,3.7069752256040815,652.0,2023,12,362,3,1,0,5.706975225604081,0,0
2023-12-29,11,-0.05740884701844076,-21.31354545454544,6.493227516617922,6.550636363636364,1.4867662990760235,652.0,2023,12,363,4,1,0,3.4867662990760238,0,0
2023-12-30,11,-0.1134419059473697,-15.652818181818185,6.380194457688995,6.493636363636364,-5.212198124183332,657.0,2023,12,364,5,1,1,-3.212198124183332,1,0
2024-11-01,11,-0.0848196962801823,-28.440454545454557,6.418725758265273,6.5035454545454545,3.3982866909580562,27.0,2024,11,306,4,0,0,5.398286690958056,0,0
2024-11-02,12,-0.04403542811246316,-14.742083333333332,6.222881238554204,6.266916666666667,-2.8398852980228946,27.0,2024,11,307,5,0,1,-0.8398852980228946,0,0
2024-11-03,11,-0.07355476892610549,-15.1930909090909,6.284627049255713,6.358181818181818,-3.740858388439544,40.0,2024,11,308,6,0,1,-1.7408583884395439,0,0
2024-11-04,11,0.012049732991584395,-6.553999999999994,6.401140642082495,6.38909090909091,5.05393598638743,51.0,2024,11,309,0,0,0,7.05393598638743,0,0
2024-11-05,11,-0.043191492959169124,-20.275727272727273,6.4783539615862855,6.521545454545454,12.989499235025391,51.0,2024,11,310,1,0,0,14.989499235025391,0,0
2024-11-06,11,-0.020657245573349216,-22.270181818181825,6.502433663517559,6.52309090909091,9.70553513359517,51.0,2024,11,311,2,0,0,11.70553513359517,0,0
2024-11-07,11,-0.019958290623193067,-22.07663636363636,6.388587163922262,6.408545454545455,2.222747684116745,51.0,2024,11,312,3,0,0,4.2227476841167455,0,0
2024-11-08,11,-0.19506204703721994,-43.6589090909091,6.190028862053689,6.385090909090909,-1.5873855330641484,51.0,2024,11,313,4,0,0,0.4126144669358516,0,0
2024-11-09,11,-0.07403250227957328,-17.217090909090892,6.2943311340840635,6.368363636363637,-3.839741707118495,62.0,2024,11,314,5,0,1,-1.839741707118495,1,0
2024-11-10,9,-0.0326430181199791,-19.099444444444444,6.352912537435576,6.385555555555555,4.622242181011412,74.0,2024,11,315,6,0,0,6.622242181011412,0,1
2024-11-11,11,-0.1217426354387841,-30.652454545454546,6.2884391827430335,6.410181818181818,4.141815149067984,74.0,2024,11,316,0,0,0,6.141815149067984,0,0
2024-11-12,11,-0.09516959942300889,-20.655363636363642,6.259830400576991,6.355,-5.5340988035358984,79.0,2024,11,317,1,0,1,-3.5340988035358984,1,0
2024-11-13,11,-0.04315418814296565,-14.943818181818198,6.3046639936752165,6.347818181818183,-6.114232294673697,103.0,2024,11,318,2,0,1,-4.114232294673697,0,1
2024-11-14,11,-0.025716230293641118,-14.998818181818168,6.34419286061545,6.369909090909091,-5.009372025387304,124.0,2024,11,319,3,0,1,-3.0093720253873038,0,0
2024-11-15,11,0.0936680155520902,-23.241909090909086,6.387849833733909,6.294181818181818,-2.481292029991025,139.0,2024,11,320,4,0,1,-0.48129202999102505,0,0
2024-11-16,11,0.03783823670790271,-18.346909090909094,6.309565509435175,6.271727272727273,-1.7084707478361965,149.0,2024,11,321,5,0,0,0.29152925216380354,0,0
2024-11-17,11,0.010290221355266593,-16.11436363636362,6.296017494082539,6.285727272727272,0.9275399937899688,155.0,2024,11,322,6,0,0,2.927539993789969,0,0
2024-11-18,10,0.05787534557523779,-13.004499999999997,6.376975345575238,6.319100000000001,2.044229948777945,155.0,2024,11,323,0,0,0,4.044229948777945,0,0
2024-11-19,11,-0.03631253506328951,-20.506909090909083,6.294869283118529,6.331181818181818,-0.11090288694580645,155.0,2024,11,324,1,0,0,1.8890971130541936,0,0
2024-11-20,11,0.0546070558639651,-10.922909090909105,6.427607055863965,6.372999999999999,2.9848463562648813,155.0,2024,11,325,2,0,0,4.984846356264882,0,0
2024-11-21,11,0.13028608394004254,6.535090909090896,6.436922447576406,6.306636363636364,2.093968433003019,155.0,2024,11,326,3,0,0,4.093968433003019,0,0
2024-11-22,11,-0.046070340842598784,-21.192181818181822,6.401566022793765,6.447636363636364,1.140435863370613,155.0,2024,11,327,4,0,0,3.1404358633706133,0,0
2024-11-23,11,0.02041201712981304,-2.914818181818191,6.393230198947995,6.3728181818181815,0.2687175861917636,155.0,2024,11,328,5,0,0,2.2687175861917637,0,0
2024-11-24,11,-0.012247421743863366,-8.003454545454536,6.224570760074318,6.236818181818182,-4.250781969331005,157.0,2024,11,329,6,0,1,-2.2507819693310047,1,0
2024-11-25,11,-0.009082647475451854,-4.509181818181829,6.324462807070003,6.333545454545455,-2.8601451409311625,174.0,2024,11,330,0,0,1,-0.8601451409311625,0,1
2024-11-26,11,0.04813803803548001,4.78345454545455,6.317865310762753,6.269727272727272,0.011107389840646359,184.0,2024,11,331,1,0,0,2.0111073898406464,0,0
2024-11-27,11,-0.022277904827373553,-10.919818181818187,6.424449367899899,6.446727272727273,-2.1753474156380355,188.0,2024,11,332,2,0,1,-0.17534741563803546,0,0
2024-11-28,11,-0.045376833359384576,-15.256818181818176,6.4086231666406155,6.454,-2.304687439695954,194.0,2024,11,333,3,0,1,-0.3046874396959538,0,0
2024-11-29,11,-0.0031480608487245735,-10.49454545454546,6.3067610300603665,6.30990909090909,-5.264592551566001,215.0,2024,11,334,4,0,1,-3.2645925515660013,0,0
2024-11-30,11,-0.0028775254713657716,0.8721818181818125,6.301304292710452,6.304181818181818,-6.534702193377643,239.0,2024,11,335,5,0,1,-4.534702193377643,0,0
2024-12-01,11,0.011750651230716613,-5.756909090909082,6.335205196685262,6.3234545454545446,-7.150449655996341,263.0,2024,12,336,6,0,1,-5.150449655996341,0,0
2024-12-02,11,-0.07198340575722671,-20.344818181818184,6.29438023060641,6.366363636363636,-6.903883906703386,287.0,2024,12,337,0,0,1,-4.903883906703386,0,0
2024-12-03,11,0.04919219369355098,-11.215818181818205,6.38028310278446,6.331090909090909,-8.460305092213629,311.0,2024,12,338,1,0,1,-6.460305092213629,0,0
2024-12-04,11,-0.08768571705735803,-23.292181818181835,6.275405192033551,6.363090909090909,-3.8115751578997745,335.0,2024,12,339,2,0,1,-1.8115751578997745,0,0
2024-12-05,10,-0.06309643349937977,-25.173800000000007,6.3730035665006195,6.436100000000001,-6.900691068193879,359.0,2024,12,340,3,0,1,-4.900691068193879,0,0
2024-12-06,11,-0.17227642153187908,-27.581181818181843,6.2599053966499385,6.432181818181818,-9.132869150520941,382.0,2024,12,341,4,0,1,-7.132869150520941,0,0
2024-12-09,11,-0.2524601674908718,-41.14827272727273,6.08344892341822,6.33590909090909,-2.029769298841788,419.0,2024,12,344,0,0,1,-0.02976929884178814,0,0
2024-12-10,11,-0.13616842021196554,1.9527272727272744,6.285558852515307,6.4217272727272725,0.6652844779043425,424.0,2024,12,345,1,0,0,2.6652844779043425,0,0
2024-12-11,11,-0.17250119242104464,-31.023909090909093,6.295498807578955,6.468,-0.7822793742042145,424.0,2024,12,346,2,0,0,1.2177206257957855,0,0
2024-12-12,11,-0.20487681392019533,-25.76245454545455,6.15057773153435,6.3554545454545455,-10.199617862066187,441.0,2024,12,347,3,0,1,-8.199617862066187,1,0
2024-12-13,11,-0.213643550623989,-16.16972727272727,6.242992813012375,6.456636363636363,-11.579241403996598,465.0,2024,12,348,4,0,1,-9.579241403996598,0,1
2024-12-14,11,-0.24839105585617574,-25.663999999999998,6.175154398689279,6.423545454545454,-14.07490391177405,489.0,2024,12,349,5,0,1,-12.07490391177405,0,0
2024-12-15,11,-0.2206256697403812,-45.52963636363638,6.171101602986892,6.391727272727272,-5.282937716607367,513.0,2024,12,350,6,0,1,-3.2829377166073668,0,0
2024-12-16,11,-0.23916515886086548,-50.33827272727273,6.191107568411862,6.430272727272728,3.052926739246973,527.0,2024,12,351,0,0,0,5.052926739246973,0,0
2024-12-17,11,-0.13669127135062767,-24.01727272727271,6.282854183194828,6.419545454545454,0.024869743885532557,527.0,2024,12,352,1,0,0,2.0248697438855325,0,0
2024-12-18,11,-0.08876618030154945,-23.486545454545443,6.291052001516633,6.379818181818181,-0.8386727608620025,527.0,2024,12,353,2,0,0,1.1613272391379974,0,0
2024-12-19,11,-0.20673959689432067,-27.03863636363635,6.198896766742044,6.405636363636364,-8.44811744359632,541.0,2024,12,354,3,0,1,-6.44811744359632,1,0
2024-12-20,11,-0.16928159182755242,1.2752727272727291,6.328718408172448,6.497999999999999,-8.940191374040937,565.0,2024,12,355,4,0,1,-6.940191374040937,0,1
2024-12-21,11,-0.3173792831628494,-36.43809090909092,6.208257080473515,6.525636363636363,-18.51185290448457,589.0,2024,12,356,5,1,1,-16.51185290448457,0,0
2024-12-22,11,-0.34244687445399064,-40.15690909090907,6.140825852818736,6.483272727272728,-21.743649565681395,613.0,2024,12,357,6,1,1,-19.743649565681395,0,0
2024-12-23,11,-0.14926086664943589,-22.06545454545458,6.341466406077837,6.4907272727272725,-9.880602878962021,637.0,2024,12,358,0,1,1,-7.880602878962021,0,0
2024-12-24,11,-0.2137655417404278,-46.85109090909089,6.426507185532299,6.640272727272728,-9.37418477576601,661.0,2024,12,359,1,1,1,-7.374184775766009,0,0
